BILIBILI2,ID,EQUAL,DATE,COMMENTS,,
BILIBILI2,莎小姐Arisa,女,2020-11-11 7:30,"🐵🐵🐵🐵
  🐵🐵🐵",6,1
BILIBILI2,老水批,保密,2020-11-10 18:35,出道前为什么不照照镜子？,3,0
BILIBILI2,手很抖的太泰宰宰,保密,2020-11-10 18:07,我爷爷就是抗美援朝战争的士兵，怎么能这样。。。。可是他们也给年少的我带来了很多鼓励。。。。。。。。。。。。。。。怎么会这样。。。。我的光呢？世界真的没有光了。。。。。。,13,18
BILIBILI2,銱體,保密,2020-11-10 13:01,没蛋团,5,0
BILIBILI2,吴邦,男,2020-11-10 11:52,求求大家了！斩了他们吧！他们就是一群**！,3,0
BILIBILI2,玛勒_蒂达,女,2020-11-10 11:03,外网都炸了 这里的饭圈还在控呢,4,0
BILIBILI2,开高达的三体人,保密,2020-11-10 11:00,一群小白脸在瞎BB，只不过是笑话。但一群NC粉的行为，那才是真正的寒心[生气],3,0
BILIBILI2,耀阳滚烫也是皓月清凉,保密,2020-11-10 5:44,球球大家了，放过他们吧，他们只是孩子而已！,3,3
BILIBILI2,柳千,男,2020-11-10 5:28,他们该骂，不过希望只针对他们，别顺上其他无辜韩饭和韩团。我一爱丽做错啥了也被别人骂了？？人都傻了[捂脸],6,9
BILIBILI2,空空空空空然,男,2020-11-10 1:05,饭圈姐姐们不是很会控评吗？来观察网控评啊，你们知不知道自己真的被人觉得很ex，麻烦去微博行吗，乌烟瘴气的，弹幕……控评……我觉得极其厌恶，真的。,10,2
BILIBILI2,空空空空空然,男,2020-11-10 1:02,祖国有这些饭圈女孩ncf真的可悲……已经不知道怎么来言语了，那些话，那些说话的样子，我瞬间觉得以后咋们中国会不会被文化入侵……导致大部分人都会那样……真的真的觉得可悲……,7,0
BILIBILI2,五仁豆,保密,2020-11-09 14:52,洗个屁啊还洗，人间洗衣机说的就是套粉[吐],14,0
BILIBILI2,请叫我jinhit高管,保密,2020-11-09 12:57,BV1KT4y1c7G7,3,11
BILIBILI2,十月玄英A,女,2020-11-09 11:26,🦐扯🥚组合,8,1
BILIBILI2,ZeroKylin,保密,2020-11-09 6:12,"《中国人民志愿军战歌》作词：麻扶摇，作曲：周巍峙，原唱：霍勇。

雄赳赳，气昂昂，跨过鸭绿江

保和平，卫祖国，就是保家乡

中国好儿女，齐心团结紧，抗美援朝

打败美帝野心狼，雄赳赳，气昂昂

跨过鸭绿江，保和平，卫祖国

就是保家乡，中国好儿女，齐心团结紧

抗美援朝，打败美帝野心狼，野心狼

雄赳赳，气昂昂，跨过鸭绿江。

保和平，卫祖国，就是保家乡。

中国好儿女，齐心团结紧，抗美援朝。

打败美帝野心狼，雄赳赳，气昂昂

跨过鸭绿江，保和平，卫祖国

就是保家乡，中国好儿女，齐心团结紧

抗美援朝，打败美帝野心狼，野心狼",7,0
BILIBILI2,代万国中,保密,2020-11-09 4:43,脱粉了,8,0
BILIBILI2,进击的芙莉德,保密,2020-11-09 4:39,PTSD团[哦呼][哦呼][哦呼],2,0
BILIBILI2,CHAOSbr76,女,2020-11-09 4:12,分享Jawsh 685/Jason Derulo/BTS (防弹少年团)的单曲《Savage Love (Laxed - Siren Beat) (BTS Remix)》: https://y.music.163.com/m/song/1483724289/?userid=1928741098&amp;app_version=7.3.28 (来自@网易云音乐)求爆破,4,0
BILIBILI2,CHAOSbr76,女,2020-11-09 4:04,wyy评论底下还在洗，恶心死了,9,0
BILIBILI2,JL托盐政ZYH,男,2020-11-09 2:15,可气的不是防弹可气的是中国饭圈  真的是一群sЬ无脑洗没有底线还在为防弹说话 为了一张脸 连tama国家都不要了 一帮狗汉奸活着浪费空气死了浪费土地,12,0
BILIBILI2,直接晕死第二代,男,2020-11-08 19:54,问题是怎么微博上还有路转粉的，我想不明白，,1,3
BILIBILI2,Ws_Chen,保密,2020-11-08 16:53,纪念侵略者？什么操作？没搞懂,9,0
BILIBILI2,COVID一19,保密,2020-11-08 15:32,建议再一次启动限韩令，并且来个超级加倍版本的。,12,3
BILIBILI2,春心春,女,2020-11-08 14:27,所以爱豆不要谈论政冶话题,3,0
BILIBILI2,请叫我jinhit高管,保密,2020-11-08 14:11,BV1KT4y1c7G7,2,1
BILIBILI2,拉丝机zzz,女,2020-11-08 13:45,就这？能叫防弹少年团，我防炸,7,0
BILIBILI2,奋进的马,男,2020-11-08 13:07,大家都会忘记的--拂菻坊,3,0
BILIBILI2,一只bzz,保密,2020-11-08 12:23,来来来你过来让我看看你能不能防弹[阴险][阴险][阴险][阴险],3,0
BILIBILI2,DDRDHL,保密,2020-11-08 9:56,我原来是防弹少年团的粉它这一句话一出我瞬间脱粉，那个节操什么什么233是个脑残粉，大家见到怼死它，国家面前无爱豆无偶像，,2,6
BILIBILI2,---嚣张---,保密,2020-11-08 9:22,先有🦐起，后有🥚来，真有你们的,5,0
BILIBILI2,24岁想开军舰,女,2020-11-08 8:51,肖国子民和FD反证斧舞装分子联合健国,4,0
BILIBILI2,小熊饼干official,女,2020-11-08 8:31,😅网络失忆罢了，这种事情过去几天就又回来了,6,0
BILIBILI2,月亮豆沙包,女,2020-11-08 5:53,为啥家暴男 出轨男  绿茶女  杀人犯  都可以攻击相貌，但是对于辱华的人不可以攻击相貌，为什么？？,8,0
BILIBILI2,韩爱豆投票,保密,2020-11-08 0:03,大家可以为他的对家投票,6,0
BILIBILI2,许安柔,男,2020-11-07 15:58,那些还不脱粉的我真吐了，退出中国国籍200RMB足够了[吐],9,0
BILIBILI2,尼欧三色冰激凌,男,2020-11-07 13:59,建议严禁韩国明星进入中国,11,3
BILIBILI2,Ac陌染,女,2020-11-07 11:53,我同桌是这玩意脑残粉，知道这件事很气愤，我还以为她要脱粉，结果她说有媒体歪曲事实，我直接无语[无语],13,0
BILIBILI2,靖靖酱紫,保密,2020-11-07 11:06,fdan必糊,6,1
BILIBILI2,靖靖酱紫,保密,2020-11-07 11:06,中国人还粉这些玩意干嘛,4,0
BILIBILI2,GoldenZz9720,男,2020-11-07 11:00,奠,0,0
BILIBILI2,炘筌,保密,2020-11-07 8:41,他们和跟粉墨开撕了,0,2
BILIBILI2,胃疼真要命嗷,女,2020-11-07 6:55,你说的这个防弹少年团，他真的防弹吗[doge],1,2
BILIBILI2,无头D-D异闻录,保密,2020-11-06 16:44,讲个笑话，某最大的篮球赛事复播啦[星星眼][星星眼][星星眼],3,9
BILIBILI2,师哥玫瑰到了花期,保密,2020-11-06 16:08,怒其不争，哀其不幸。,2,0
BILIBILI2,轻解-罗裳,保密,2020-11-06 13:33,文明观猴[doge],1,0
BILIBILI2,西秀姬,男,2020-11-06 12:22,央视都回应了，你们别在造谣rh了防弹哥哥们清清白白[偷笑][doge],2,8
BILIBILI2,丨呆子丨,保密,2020-11-06 9:55,这…美白美的，鼻孔都成黑洞了,1,0
BILIBILI2,天如灵,女,2020-11-06 8:20,完蛋少年团[微笑],8,0
BILIBILI2,Yugoslavia南斯拉夫球,男,2020-11-06 4:11,BV1ra4y1j72f,3,3
BILIBILI2,bili_14046067463,保密,2020-11-06 4:04,韩国人连美食口味都是模仿美国人韩国人真活得槽糕了看到网上韩式炸鸡那么多人吃刚点了一份韩式甜辣炸鸡年糕简直太腻，甜到想呕,5,0
BILIBILI2,黑锋骑士依旧扯淡,保密,2020-11-05 17:14,南朝鲜伪军有什么资格提朝战？[抠鼻],1,1
BILIBILI2,倒_问号,男,2020-11-05 14:06,诺贝尔奖都是政治工具了,1,0
BILIBILI2,我墨耗尽为谁颜,男,2020-11-05 13:25,生 前 录 像,2,0
BILIBILI2,ys算个啥,保密,2020-11-05 11:19,韩国人有啥好的，当年还不是被志愿军揍的和孙子一样[抠鼻][抠鼻],6,0
BILIBILI2,彩虹六号-,保密,2020-11-05 6:30,中国人跟韩国人不一样，俄国驻华大使馆在中国新浪微博发表“庆祝符拉迪沃斯托克建城160周年”，网民普遍态度是反感，而韩国对驻韩美军更多的是跪舔，体现了三八线以南不要脸的一贯流氓作风。,10,0
BILIBILI2,今天在下也是如此帅气,保密,2020-11-05 2:55,打保票，不了了之，饭圈又不是第一次遇到这事了，还不是舔的开心。,11,0
BILIBILI2,十月玄英A,女,2020-11-05 2:20,赶着栓美国的狗链。,2,0
BILIBILI2,钢球神医,男,2020-11-04 15:58,我爷爷就是抗美援朝回来的，看到这个新闻真的气到爆炸，替我爷爷骂了两句(没脏字)，然而今天被举报违规了，我想知道是哪位好同志[微笑]，就硬举报呗，懒得和您计较，我退站总该行?,23,2
BILIBILI2,心明眼亮阿姆罗,保密,2020-11-04 15:49,这个奖项和ncf的行为是什么意思呢？我想了想差不多就是我打了你爷爷一巴掌完事我还每年高调纪念一下你爷爷的脸给我的手掌带来的伤痛，最让人心寒的是你家里的小亲戚还支持我，并且指责你为爷爷说话[捂脸],15,0
BILIBILI2,蘑菇国竟有你这笨比,保密,2020-11-04 15:48,韩国之于美国肯定是往那边站队的，，但问题是你自己是有粉丝有影响的偶像团体，，而且一直以来都是挂着“关心考虑粉丝”，“积极影响”的标签，，这词却不考虑说话会对自己不同国籍的粉丝带来的影响，乳滑谈不上（毕竟🇰🇷），但这行为属实蠢逼，，，，而且到现在连个官方回应解释都不给，，真要把这件事硬洗成上面的金主爸爸逼着你当傀儡，那对不起，你团一直来宣称创作理念生活的自由，要终究是败给了上面的资本，那也算是行为艺术了,6,1
BILIBILI2,臣默的火枪,保密,2020-11-04 15:05,炮灰的后裔而已,4,0
BILIBILI2,蚂蚁森林没有蚂蚁,保密,2020-11-04 14:16,这个像蛆虫一样恶心的组合还在b站和微博有官方账号，哪里来的脸，怎么举报他们，才能让他们滚？,22,9
BILIBILI2,白凤是我情敌,保密,2020-11-04 13:32,中国人还粉这些玩意干嘛,8,0
BILIBILI2,仮面ライダーZARD,女,2020-11-04 13:28,好家伙，我发条链接居然被举报了，真牛啊，评论给我删了，这就是文化入侵吗[呲牙][呲牙][抠鼻],4,0
